start,goal,stress_level,subject,trialID,timeInTrial,trialNumber,selected,blockedWall,isStressTrial,success,isBlockedTrial,isStressFirst,isFemale,speed,nodeDistance,trialType,nodePath,blockedNodePath,shortestPathLength,Efficiency,type
A6,E6,1,567,24,10.39392,14,E6,,False,1,False,True,True,0.8658908284843447,9.0,A,"['A6', 'A5', 'A4', 'B4', 'C4', 'D4', 'E4', 'E5', 'E6']",,7,0.2857142857142857,control
G5,A6,1,567,25,11.74963,15,A6,,False,1,False,True,True,1.0213087561055114,12.0,A,"['G5', 'G4', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'B4', 'A4', 'A5', 'A6']",,10,0.2,control
F1,C7,1,567,16,9.151733,16,C7,,False,1,False,True,True,1.0926892207191796,10.0,A,"['F1', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'D7', 'C7']",,10,0.0,control
C6,A1,1,567,18,8.740967,17,A1,,False,1,False,True,True,0.915230546002519,8.0,A,"['C6', 'C5', 'C4', 'C3', 'C2', 'B2', 'A2', 'A1']",,8,0.0,control
G2,C6,2,567,19,10.80676,18,C6,,False,1,False,True,True,1.0178814001606402,11.0,A,"['G2', 'G1', 'F1', 'E1', 'E2', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6']",,9,0.2222222222222222,control
D1,D4,2,567,22,8.374756,19,D4,,False,1,False,True,True,0.7164387834105257,6.0,A,"['D1', 'C1', 'C2', 'C3', 'C4', 'D4']",,6,0.0,control
F6,B2,1,567,14,11.02783,20,B2,,False,1,False,True,True,0.9974763847465912,11.0,A,"['F6', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D1', 'C1', 'C2', 'B2']",,9,0.2222222222222222,control
E6,D1,3,567,20,14.62634,21,D1,,False,1,False,True,True,0.8888074528556016,13.0,A,"['E6', 'E5', 'E4', 'E3', 'F3', 'G3', 'G4', 'G3', 'F3', 'E3', 'E2', 'E1', 'D1']",,7,0.8571428571428571,control
D4,F1,3,567,23,16.15808,22,F1,,False,1,False,True,True,0.7426624945538083,12.0,A,"['D4', 'C4', 'B4', 'A4', 'A3', 'A2', 'B2', 'C2', 'C1', 'D1', 'E1', 'F1']",,6,1.0,control
C6,F1,1,567,17,9.129761,23,F1,,False,1,False,True,True,0.985787032103031,9.0,A,"['C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1']",,9,0.0,control
B2,G5,1,567,15,12.16089,24,G5,,False,1,False,True,True,0.90453905923004,11.0,A,"['B2', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2', 'G3', 'G4', 'G5']",,11,0.0,control
C7,D1,1,567,21,9.584595,25,D1,,False,1,False,True,True,0.8346727222172663,8.0,A,"['C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'D1']",,8,0.0,control
B2,G5,2,569,15,16.77979,2,G5,,False,1,False,False,True,0.8939325223974794,15.0,A,"['B2', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'B7', 'C7', 'D7', 'E7', 'E6', 'F6', 'G6', 'G5']",,11,0.3636363636363636,control
